"Datum";"-A/XXXX [kW]";"Status";
19.08.2022 10:45;0,59;namìøená data OK;
19.08.2022 11:00;0,832;namìøená data OK;
19.08.2022 11:15;0,797;namìøená data OK;
19.08.2022 11:30;2,386;namìøená data OK;
19.08.2022 11:45;1,842;namìøená data OK;
19.08.2022 12:00;0,472;namìøená data OK;
19.08.2022 12:15;1,156;namìøená data OK;
19.08.2022 12:30;1,43;namìøená data OK;
19.08.2022 12:45;0,456;namìøená data OK;
19.08.2022 13:00;0,517;namìøená data OK;
19.08.2022 13:15;0,049;namìøená data OK;
19.08.2022 13:30;0,167;namìøená data OK;
19.08.2022 13:45;2,057;namìøená data OK;
19.08.2022 14:00;3,864;namìøená data OK;
19.08.2022 14:15;3,638;namìøená data OK;
19.08.2022 14:30;0,756;namìøená data OK;
19.08.2022 14:45;0,182;namìøená data OK;
19.08.2022 15:00;0,223;namìøená data OK;
19.08.2022 15:15;0,262;namìøená data OK;
19.08.2022 15:30;0,467;namìøená data OK;
19.08.2022 15:45;0,166;namìøená data OK;
19.08.2022 16:00;0,039;namìøená data OK;
19.08.2022 16:15;0,123;namìøená data OK;
19.08.2022 16:30;0,28;namìøená data OK;
19.08.2022 16:45;0,326;namìøená data OK;
19.08.2022 17:00;0,064;namìøená data OK;
19.08.2022 17:15;0,13;namìøená data OK;
19.08.2022 17:30;0,118;namìøená data OK;
19.08.2022 17:45;0,076;namìøená data OK;
19.08.2022 18:00;0,174;namìøená data OK;
19.08.2022 18:15;0,335;namìøená data OK;
19.08.2022 18:30;0,162;namìøená data OK;
19.08.2022 18:45;0,119;namìøená data OK;
19.08.2022 19:00;0,069;namìøená data OK;
19.08.2022 19:15;0,134;namìøená data OK;
19.08.2022 19:30;0,053;namìøená data OK;
19.08.2022 19:45;0,022;namìøená data OK;
19.08.2022 20:00;0,026;namìøená data OK;
19.08.2022 20:15;0,012;namìøená data OK;
19.08.2022 20:30;0;namìøená data OK;
19.08.2022 20:45;0,002;namìøená data OK;
19.08.2022 21:00;0,004;namìøená data OK;
19.08.2022 21:15;0,006;namìøená data OK;
19.08.2022 21:30;0,002;namìøená data OK;
19.08.2022 21:45;0;namìøená data OK;
19.08.2022 22:00;0;namìøená data OK;
19.08.2022 22:15;0,004;namìøená data OK;
19.08.2022 22:30;0,026;namìøená data OK;
19.08.2022 22:45;0,012;namìøená data OK;
19.08.2022 23:00;0;namìøená data OK;
19.08.2022 23:15;0,003;namìøená data OK;
19.08.2022 23:30;0,011;namìøená data OK;
19.08.2022 23:45;0,022;namìøená data OK;
